text,label
yusuf mansur penipuantapi mudah cari uang hehe,0
usut tuntas kasihan korbanya hidup mewah derita umat yg tipu mentah hukum berat krn ulama yg hrs nya sikap parah drpd rampok pesan umat pintar akal sehat,0
terimakasih tenggang nya non islam tetep semangat korban moga allah ganti rezeki berkah aamiin,1
ustad pendeta oknum salah agama karna agama ajar bohong jahat kebaikansalam toleransi kristen saudara muslim tpi jaga hormat,1
capai tingkat ikhlas latih sedekah,1
katolik senang dengar kotbah beliau kotbah nya the power of sedekah tolong orang klo dengar ceramah beliau tdk kotbah yg isi hina caci umat agama moga ustad cepat selesai,1
orang sukses yg iri sakit indonesia sedekah dg ajar islam laku sedekah butuh tulus ikhlas harap sedekah laku dg allah lunas hajat,1
manusia yg tdk luput dr dosa salah syukur allah yg maha kuasa yg jaga aib lihat betapa malu tuhan buka aib,1
temanteman yg katholik kristen hati komentarkomentar positif orang muslim malu moga ustadzustadz dakwah bisnis dakwah ajang bisnis haram hukum patok harga dakwah ceramah ajar ngaji dll harga patok biaya transport makan si pendakwahmisal biaya pesawat mobil makan siangdlltapi biaya dakwah biaya transport batas wajar biaya dakwah seikhlashnya yg undang biaya transport tolak dakwah ajang bisnis,1
non muslim trimakasih perhati agama dukung perhati jelek jatuh,1
yg tanam yg tuaiurusan konten tabayun serah percaya tegak hukum adil yg warga negara indonesia,1
beliau orang yg bernasip bagusharusnya syukur nikmat allahapalah arti dakwah beliau inisemoga beliau sadar terima masuk,1
kasihan saudara umat muslim gara gara manusia kedok ustz nilai nilai sedekah agama islam noda miris,1
moga orang bener gak orang quran allah ga nyuruh org bener tp orang kebaji moga jalan yg bener jujur tipu orang indonesia maju akhlak,1
sedekah lillahitaala kaya tipu niat biar kaya janji wajar ga sih tipu niat salah ya kasi tau percaya aja moga lurus niat sedekah,1
benci agama salah oknum mari doa jalan paham khilaf,1
sungguh ustad ulama duniawi ulama jujur pelosok gaya hidup nya sederhana,0
prihatin nikmat hidup duniawi lupa tugas amanah titip tuhan agama peluk tinggal hidup duniawi orang pimpin umat panggil pilih terimakasih saudara nkri,0
salah orang salah agama,0
muslim sy percaya ustadz yg milik perilaku puji,1
sayang beliau buta harta,0
sungguh manusia uji kesulitankemewahan kecantikanharta tahta duduk lagitidak uji umatnyasemoga jalan,1
rosulullah manusia yg mulia smoga hindar kburukan sllu takut kpd allah,1
moga ustadz syekh ali aljaber sisi allah yg mulia moga uah uas sehat selaluamin,1
ya saudara akal sehat hati nurani kalah nafsu duniawi yg ad batas ya moga aj ttp yg syukur ttp jalan wajib dunia dasar agama kitab aamiin,1
alhamdulillah allah kuasa nya balas yusuf mansur alhamdulillah,1
moga beliau lindung allah swt hidayah hikmah inayahnyaaamiin,1
ustadz yg yg bicara tindak orang pimpin agama salam toleransi ajar teman teman muslim manusi jgn hakim kadang balok mata sadar sampah mata oramg tuhan kati,1
ustadz kalo salah hukum alloh wajib manusia adil kalang orang islam liput manusia,1
ajar ustadz yusuf mansur,1
doa yg muslimin muslimah indonesia semangat moga baikbaik aja amin,1
cerdas sihsayang menyalahgunakan percaya orang hasrat kaya,0
dr hati sdh ragu sih walauhualam moga allah kirim jalan quran hadits,0
orang yg suka kedok agama bongkar alhamdulillah yaa allah,0
sedekah ya sedekah investasi ya investasi campur aduk sedekah niat allah bekal akhirat balas niat innamal amalu binniah amal sesuai niat cari ilmu orang ulama indonesia pandai pandai ilmu luas saring buang buruk moga bimbing lindung allah,0
dunia rubah sikap pikir manusia,0
ya allah selamat jamaah korban,1
uji allah swt baginyadikaburi nafsu uang duniamakin ilmu uji nafsu serakahnyanauzubillahiminzaliq,1
ijinnya lihat lurus jalannyamasing terima perhitungannyaadakalanya niat jalan mesti uji uji,1
ustad seorg yg santun bhsnya senang tdk resah,1
muslim terang sy jd malu ulah beliau moga allah hidayah taubat jalan yg lurus korban moga sabar,0
ya teman teman salah agamanyasemua agama ajar,1
